item_id,timestamp,target_value,backtestwindow_start_time,backtestwindow_end_time,p33,p50,p90,mean,p75
1,2021-11-28T03:45:00Z,276.869,2021-11-26T19:15:00,2021-12-02T00:00:00,327.168617538883,347.967860017389,430.04920711582645,350.87343564731157,384.62449814725653
1,2021-11-28T04:00:00Z,274.525,2021-11-26T19:15:00,2021-12-02T00:00:00,319.00339156334223,344.6751703579937,429.1473290993366,348.3388439813072,389.9733301584009
1,2021-11-28T04:15:00Z,96.681,2021-11-26T19:15:00,2021-12-02T00:00:00,295.77135681755425,316.5802701295077,400.179614157718,324.5943405106527,360.6295449973679
1,2021-11-28T04:30:00Z,133.459,2021-11-26T19:15:00,2021-12-02T00:00:00,318.21113904006404,339.9492031471482,421.1069105566432,342.6050323754112,376.01849580420355
1,2021-11-28T04:45:00Z,142.729,2021-11-26T19:15:00,2021-12-02T00:00:00,322.959558877231,344.1717076671749,429.54963832995946,348.90538001253606,380.6025925673544
1,2021-11-28T05:00:00Z,135.945,2021-11-26T19:15:00,2021-12-02T00:00:00,314.64909165353833,336.010348615588,419.62150113825567,341.3714022383284,377.44779637470873
1,2021-11-28T05:15:00Z,111.659,2021-11-26T19:15:00,2021-12-02T00:00:00,283.82855724771156,310.00839546924794,383.7237906914876,309.3738516540807,343.0196734219647
1,2021-11-28T05:30:00Z,250.154,2021-11-26T19:15:00,2021-12-02T00:00:00,307.3298896391802,329.7583667817866,409.0288912477444,333.05446603614826,368.6446569146695
1,2021-11-28T05:45:00Z,300.166,2021-11-26T19:15:00,2021-12-02T00:00:00,312.88594318266627,332.8801550666218,410.6643637080506,334.3557093407543,365.0549369188602
1,2021-11-28T06:00:00Z,299.196,2021-11-26T19:15:00,2021-12-02T00:00:00,315.680100062204,338.9898032117276,416.73140449097343,340.83607944218267,370.2306079322035
1,2021-11-28T06:15:00Z,275.379,2021-11-26T19:15:00,2021-12-02T00:00:00,290.1860942513207,312.46281709178726,388.96006233679,315.92754648860057,347.4256123858806
1,2021-11-28T06:30:00Z,296.484,2021-11-26T19:15:00,2021-12-02T00:00:00,307.27197353772334,327.19906928083714,405.933772881226,330.06991077206783,360.16059492248786
1,2021-11-28T06:45:00Z,306.67,2021-11-26T19:15:00,2021-12-02T00:00:00,308.8898055033625,329.4292557586647,409.5383761303486,334.24151302998774,361.57981046089736
1,2021-11-28T07:00:00Z,291.28,2021-11-26T19:15:00,2021-12-02T00:00:00,304.2404835614978,327.94655971867616,406.3239101972628,331.08640951469295,366.8252595101067
1,2021-11-28T07:15:00Z,223.693,2021-11-26T19:15:00,2021-12-02T00:00:00,286.038544459091,303.35433631315334,382.30775755375123,309.56054371912114,346.95336924906695
1,2021-11-28T07:30:00Z,271.295,2021-11-26T19:15:00,2021-12-02T00:00:00,304.72853699304153,323.69217211309115,397.2968726909503,327.9234089805393,352.33835678222545
1,2021-11-28T07:45:00Z,276.018,2021-11-26T19:15:00,2021-12-02T00:00:00,304.15173767812485,321.76005483864526,397.030072337671,326.04497406617395,354.2199735991503
1,2021-11-28T08:00:00Z,276.185,2021-11-26T19:15:00,2021-12-02T00:00:00,293.6707015496173,313.86357529490175,390.8783079123226,318.1684204009496,345.5713329402296
1,2021-11-28T08:15:00Z,244.466,2021-11-26T19:15:00,2021-12-02T00:00:00,270.5997001103129,290.43201467392316,371.0594777955796,293.6134228154091,324.51341031330526
1,2021-11-28T08:30:00Z,283.324,2021-11-26T19:15:00,2021-12-02T00:00:00,290.7308723684979,308.0668411141132,377.539180251958,312.18782279747694,336.8366133817087
1,2021-11-28T08:45:00Z,311.017,2021-11-26T19:15:00,2021-12-02T00:00:00,293.4798523780269,313.270253668507,392.56416218756084,316.4419509607252,343.980320616316
1,2021-11-28T09:00:00Z,310.226,2021-11-26T19:15:00,2021-12-02T00:00:00,285.06698155570115,306.9594224499227,387.398487730076,313.3599156990019,347.8041439062216
1,2021-11-28T09:15:00Z,282.604,2021-11-26T19:15:00,2021-12-02T00:00:00,270.5442281734946,291.5837057703491,368.4272060232073,294.3915956666398,325.5467518420248
1,2021-11-28T09:30:00Z,298.156,2021-11-26T19:15:00,2021-12-02T00:00:00,289.6002573971234,310.4892982515968,383.6771762010661,313.04101678973996,339.3586833720408
1,2021-11-28T09:45:00Z,313.115,2021-11-26T19:15:00,2021-12-02T00:00:00,293.17658757776826,310.06349890152586,392.26644455398826,317.28114279041506,347.8805766910456
1,2021-11-28T10:00:00Z,322.799,2021-11-26T19:15:00,2021-12-02T00:00:00,285.379738739158,304.21934839254357,382.57246659116674,308.78493848239856,338.856298532827
1,2021-11-28T10:15:00Z,221.181,2021-11-26T19:15:00,2021-12-02T00:00:00,266.5418431155682,283.88927423336844,356.13421517396284,285.60214080874636,314.38609978141847
1,2021-11-28T10:30:00Z,226.011,2021-11-26T19:15:00,2021-12-02T00:00:00,282.5544587924067,300.4396670386069,378.92058306533715,304.82941370607875,333.164102003181
1,2021-11-28T10:45:00Z,233.04,2021-11-26T19:15:00,2021-12-02T00:00:00,282.3880319774415,303.51463232756373,376.8774926500285,305.0835087622544,334.6234137160694
1,2021-11-28T11:00:00Z,226.067,2021-11-26T19:15:00,2021-12-02T00:00:00,274.25425139114185,295.14601250122064,372.40452328497634,300.3772769830972,342.0994234360709
